ActivityDateTime,UserID,Most_Frequent_Activity
2024-05-04 12:21:08,199,studentAssignment
2024-05-04 16:33:50,199,notification
2024-05-04 16:35:04,199,notification
2024-05-04 16:35:18,199,notification
2024-05-04 16:35:22,199,notification
2024-05-04 17:10:01,199,NoticeBord
2024-05-04 17:10:04,199,NoticeBord
2024-05-04 17:10:27,199,NoticeBord
2024-05-04 17:11:09,199,NoticeBord
2024-05-04 17:11:18,199,NoticeBord
2024-05-05 23:56:40,199,notification
2024-05-06 09:56:52,199,notification
2024-05-06 09:57:19,199,notification
2024-05-06 09:58:29,199,notification
2024-05-04 13:52:04,264,Logout
2024-05-06 23:33:57,277,Fees
2024-05-06 23:34:24,277,Fees
2024-05-05 20:38:52,324,StudentAttendanceScreen
2024-05-05 20:39:02,324,StudentAttendanceScreen
2024-05-05 20:39:04,324,StudentAttendanceScreen
2024-05-05 20:39:09,324,StudentAttendanceScreen
2024-05-05 20:39:10,324,StudentAttendanceScreen
2024-05-08 00:15:24,343,RoutineScreen
2024-05-08 00:15:53,343,RoutineScreen
2024-05-08 00:15:59,343,RoutineScreen
2024-05-08 00:16:44,343,RoutineScreen
2024-05-08 00:16:48,343,RoutineScreen
2024-05-08 00:16:50,343,RoutineScreen
2024-05-08 00:16:53,343,RoutineScreen
2024-04-28 18:19:11,365,NoticeBord
2024-04-28 18:19:21,365,NoticeBord
2024-05-04 13:48:56,365,StudentAttendanceScreen
2024-05-04 13:49:12,365,StudentAttendanceScreen
2024-05-04 13:49:17,365,StudentAttendanceScreen
2024-05-04 13:49:27,365,StudentAttendanceScreen
2024-05-04 13:49:53,365,StudentHomePage
2024-05-04 13:49:58,365,StudentHomePage
2024-05-04 13:50:27,365,StudentHomePage
2024-05-04 13:50:31,365,StudentHomePage
2024-05-06 07:55:41,372,Fees
2024-05-06 07:55:55,372,Fees
2024-05-06 07:56:20,372,Fees
2024-05-06 07:56:23,372,Fees
2024-05-06 07:56:31,372,RoutingScreen
2024-05-06 07:56:32,372,RoutingScreen
2024-05-06 07:56:36,372,RoutingScreen
2024-05-04 17:29:14,429,RoutineScreen
2024-05-04 17:29:22,429,RoutineScreen
2024-05-04 17:29:40,429,RoutineScreen
2024-05-04 17:29:41,429,RoutineScreen
2024-05-04 17:29:45,429,RoutineScreen
2024-05-04 17:29:57,429,RoutineScreen
2024-05-04 17:30:01,429,RoutingScreen
2024-05-04 17:30:02,429,RoutingScreen
2024-05-04 17:30:05,429,RoutingScreen
2024-05-04 13:46:25,430,studentAssignment
2024-05-04 13:46:32,430,studentAssignment
2024-05-04 13:48:29,430,RoutineScreen
2024-05-04 13:48:30,430,RoutineScreen
2024-05-04 13:48:41,430,StudentHomePage
2024-05-04 13:48:45,430,StudentHomePage
2024-05-04 13:48:47,430,StudentHomePage
2024-05-04 13:48:54,430,StudentHomePage
2024-05-04 13:48:58,430,StudentHomePage
2024-05-04 13:39:29,487,studentAssignment
2024-05-04 13:39:51,487,studentAssignment
2024-05-04 13:40:48,487,Fees
2024-05-04 13:41:02,487,Fees
2024-05-04 13:45:43,487,EditStudentProfile
2024-05-04 13:46:29,487,EditStudentProfile
2024-05-04 13:46:55,487,EditStudentProfile
2024-05-04 13:47:20,487,EditStudentProfile
2024-05-04 13:47:55,487,EditStudentProfile
2024-05-04 13:48:03,487,EditStudentProfile
2024-05-04 13:48:14,487,EditStudentProfile
2024-05-04 13:48:27,487,EditStudentProfile
2024-05-04 13:48:31,487,EditStudentProfile
2024-05-04 13:48:39,487,EditStudentProfile
2024-05-04 13:48:42,487,EditStudentProfile
2024-05-04 13:48:52,487,EditStudentProfile
2024-05-07 16:33:36,487,EditStudentProfile
2024-05-07 20:59:24,561,StudentAttendanceScreen
2024-05-07 20:59:30,561,StudentAttendanceScreen
2024-05-08 07:09:28,613,RoutineScreen
2024-05-08 07:09:37,613,RoutineScreen
2024-05-08 07:09:40,613,RoutineScreen
2024-05-08 07:09:54,613,RoutineScreen
2024-05-08 07:10:01,613,RoutineScreen
2024-05-08 07:10:05,613,RoutineScreen
2024-05-08 07:10:08,613,RoutineScreen
2024-05-08 07:10:13,613,RoutineScreen
2024-05-08 07:10:21,613,RoutineScreen
2024-05-07 19:49:58,614,Fees
2024-05-07 19:50:09,614,Fees
2024-05-07 19:51:06,614,Fees
2024-05-07 19:51:27,614,Fees
2024-05-07 19:51:31,614,Fees
2024-05-07 19:51:32,614,Fees
2024-05-07 19:51:34,614,RoutingScreen
2024-05-07 19:51:35,614,RoutingScreen
